address,suburb,price,bedrooms,bathrooms,garage,landarea,floorarea,buildarea,neareststn,neareststndist,postcode,nearestsch,nearestschdist,nearestschrnk
36 Rickett Street,Haynes,187000,4,2,NULL,426,194,2014,Armadale Station,2200,6112,DALE CHRISTIAN SCHOOL,0.840462602,
36 Robins Road,Kalamunda,690000,4,1,NULL,3343,158,1973,Madding,9600,6076,KALAMUNDA SENIOR HIGH SCHOOL,0.933849305,107
36 Robinson Terrace,Daglish,1200000,3,2,2,756,168,1934,Daglish Station,476,6008,SHENTON COLLEGE,1.734446909,14
36 Rosebery Street,Jolimont,925000,4,1,2,483,147,1910,Daglish Station,751,6014,SHENTON COLLEGE,1.659619204,14
36 Rusthall Way,Huntingdale,410000,3,2,2,689,157,1985,Gosnells Station,2700,6110,SOUTHERN RIVER COLLEGE,0.558795308,121
36 Salisbury Street,St James,617500,3,2,3,583,180,1954,Welshpool Station,1100,6102,CANNING COLLEGE,1.874490298,
36 Sandalwood Drive,Greenwood,584000,4,2,2,683,235,1982,Warwick Station,1900,6024,GREENWOOD COLLEGE,1.081961649,86
36 Sauvignon Avenue,The Vines,565000,4,2,2,725,232,1996,Midland Station,15400,6069,HOLY CROSS COLLEGE,3.659411512,98
36 Seagrove Boulevard,Merriwa,260000,4,2,2,555,128,2002,Butler Station,3100,6030,ALKIMOS BAPTIST COLLEGE,0.252034912,
36 Secret Harbour Boulevard,Secret Harbour,320000,4,2,2,608,177,1994,Warnbro Station,7800,6173,COMET BAY COLLEGE,2.333008744,35
36 Sellars Way,Bull Creek,1270000,5,3,2,690,352,2001,Bull Creek Station,1500,6149,ALL SAINTS' COLLEGE,0.646542247,21
36 Servetus Street,Swanbourne,1100000,3,2,NULL,663,138,1950,Swanbourne Station,411,6010,SCOTCH COLLEGE,0.564436484,24
36 Shelburne Gardens,Ridgewood,480000,5,2,2,621,253,NULL,Clarkson Station,3300,6030,ALKIMOS BAPTIST COLLEGE,1.34999964,
36 Singleton Beach Road,Singleton,420000,4,2,2,911,180,2006,Mandurah Station,9100,6175,COMET BAY COLLEGE,3.403576311,35
36 Sowden Drive,Samson,760000,4,2,2,752,229,1988,Murdoch Station,5300,6163,SETON CATHOLIC COLLEGE,0.573702298,91
36 St Catharines Promenade,Champion Lakes,265000,4,2,2,519,216,2014,Kelmscott Station,1900,6111,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.732112944,40
36 St Elias Place,Caversham,410000,4,2,2,525,151,1999,Success Hill Station,3500,6055,KIARA COLLEGE,2.485761833,
36 Stokesay Street,Orelia,216000,3,1,4,375,119,2008,Kwinana Station,1800,6167,GILMORE COLLEGE,0.898491217,138
36 Stone Street,Maylands,627000,4,1,2,1095,159,1965,Meltham Station,1300,6051,CHISHOLM CATHOLIC COLLEGE,2.406184125,29
36 Stormbird Loop,Currambine,511000,4,2,2,501,208,2003,Currambine Station,1400,6028,LAKE JOONDALUP BAPTIST COLLEGE,2.194532441,80
36 Summerton Road,Calista,305000,3,1,2,765,97,1953,Wellard Station,2700,6167,GILMORE COLLEGE,0.900868565,138
36 Sydney Street,North Perth,1010000,3,2,2,399,200,2010,Leederville Station,1900,6006,ARANMORE CATHOLIC COLLEGE,0.762903577,106
36 Sylvan Crescent,Leeming,730000,4,2,2,783,184,1993,Murdoch Station,2400,6149,LEEMING SENIOR HIGH SCHOOL,1.374106461,89
36 Talus Drive,Mount Richon,735000,4,2,2,2030,296,2000,Armadale Station,1100,6112,ARMADALE SENIOR HIGH SCHOOL,0.500492898,
36 Thorold Avenue,Ellenbrook,479000,4,2,2,693,202,2005,Guildford Station,14800,6069,HOLY CROSS COLLEGE,1.050671575,98
36 Torridon Loop,Wanneroo,540000,4,2,2,693,191,1997,Edgewater Station,2400,6065,ALTA-1,1.478369904,
36 Tranquility Crescent,Aveley,429000,4,2,2,480,143,2014,East Guildford Station,14400,6069,HOLY CROSS COLLEGE,0.852841036,98
36 Transom Way,Ocean Reef,865000,4,2,2,781,261,NULL,Edgewater Station,3500,6027,OCEAN REEF SENIOR HIGH SCHOOL,0.708299702,83
36 Treetop Avenue,Edgewater,411500,3,1,1,720,120,1987,Edgewater Station,798,6027,MATER DEI COLLEGE,0.748072022,104
36 Trott Road,Lesmurdie,745000,4,2,2,1223,265,2000,Madding,9600,6076,ST BRIGID'S COLLEGE,0.978046354,99
36 Turner Road,Bullsbrook,320000,4,2,4,1012,149,1988,Midland Station,24700,6084,HOLY CROSS COLLEGE,11.80410127,98
36 Twilight Mews,Aubin Grove,430000,3,2,2,362,136,2010,Cockburn Central Station,3700,6164,ATWELL COLLEGE,1.715952564,129
36 View Terrace,Darlington,779000,4,2,2,1922,250,1912,Midland Station,7200,6070,TREETOPS MONTESSORI SCHOOL,0.436369118,
36 Wanderer Parkway,Baldivis,432000,4,2,3,551,219,2011,Warnbro Station,4100,6171,TRANBY COLLEGE,1.238203481,62
36 Wangoola Terrace,Mount Nasura,695000,5,2,8,1767,218,NULL,Armadale Station,1200,6112,JOHN CALVIN CHRISTIAN COLLEGE,1.401666905,56
36 Wanstead Vista,Bertram,300000,4,2,2,403,153,NULL,Kwinana Station,1500,6167,THE KING'S COLLEGE,0.770690091,
36 Waratah Drive,Camillo,289000,3,1,1,690,92,1970,Kelmscott Station,1300,6111,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.119830153,40
36 Ward Avenue,Greenmount,730000,4,2,2,2067,213,2004,Midland Station,6000,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.045909582,
36 Warfield Place,Martin,1900000,5,3,NULL,30567,328,1970,Seaforth Station,4600,6110,LUMEN CHRISTI COLLEGE,4.517643401,122
36 Warlingham Drive,Lesmurdie,660000,5,2,2,1924,258,1995,Madding,8500,6076,ST BRIGID'S COLLEGE,0.358867449,99
36 Waterlily Drive,Stratton,370000,4,2,1,533,125,1995,Midland Station,5100,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.595739229,
36 Welara Circle,Henley Brook,528000,4,2,4,540,201,2001,Guildford Station,11300,6055,ELLENBROOK SECONDARY COLLEGE,1.420347003,119
36 Wellaton Street,Midvale,435000,2,1,1,1052,98,1946,Midland Station,1900,6056,YOUTH FUTURES COMMUNITY SCHOOL,1.419779323,
36 Wem Mews,High Wycombe,455000,4,2,2,448,151,2014,Midland Station,4600,6057,YOUTH FUTURES COMMUNITY SCHOOL,4.519709261,
36 Whitehouse Drive,Koondoola,362000,4,1,NULL,901,105,1984,Warwick Station,5800,6064,MERCY COLLEGE,0.157583401,46
36/444 Marmion Street,Myaree,439000,2,1,1,15488,78,1986,Bull Creek Station,4300,6154,MELVILLE SENIOR HIGH SCHOOL,0.883708642,61
36/68 Fisher Street,Belmont,410000,3,2,3,170,130,2007,Burswood Station,3100,6104,BELMONT CITY COLLEGE,0.307386477,57
360 Boomerang Road,Oldbury,224000,3,2,NULL,59013,370,2010,Wellard Station,7100,6121,THE KING'S COLLEGE,5.213406656,
360 Bushlands Road,Hovea,165000,4,4,3,10007,217,1992,Midland Station,10700,6071,HELENA COLLEGE,3.460351717,78
360 Lacey Street,Sawyers Valley,850000,3,1,3,14768,175,1920,Midland Station,18000,6074,MUNDARING CHRISTIAN COLLEGE,1.075449208,
360 Richardson Road,Hovea,220000,4,2,NULL,15452,164,1985,Midland Station,11200,6071,HELENA COLLEGE,4.445572895,78
360 Walcott Street,Coolbinia,710000,3,1,1,768,140,1950,Glendalough Station,2800,6050,ARANMORE CATHOLIC COLLEGE,1.412449571,106
360 Warwick Road,Warwick,455000,3,1,2,728,103,1973,Warwick Station,1400,6024,WARWICK SENIOR HIGH SCHOOL,1.087502523,
361 Boulonnais Drive,Brigadoon,900000,3,2,4,17145,251,1997,Midland Station,14100,6069,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,9.501015614,53
361 Huntriss Road,Woodlands,1140000,4,3,2,865,257,1958,Stirling Station,2000,6018,HALE SCHOOL,0.902630882,6
361 Lesmurdie Road,Lesmurdie,550000,4,3,2,1996,300,1969,Madding,7400,6076,LESMURDIE SENIOR HIGH SCHOOL,0.479627549,71
361 Maddington Road,Orange Grove,650000,3,1,3,4045,162,1938,Madding,3300,6109,ST FRANCIS' SCHOOL,2.983870998,
361 Morley Drive,Dianella,590000,4,2,2,683,203,1997,Mount Lawley Station,5000,6059,MORLEY SENIOR HIGH SCHOOL,1.778619317,100
362 Amarillo Drive,Karnup,815000,3,3,2,24124,199,1996,Warnbro Station,10200,6176,COMET BAY COLLEGE,4.807708981,35
363 Epsom Avenue,Redcliffe,450000,4,2,2,420,175,NULL,Success Hill Station,6000,6104,BELMONT CITY COLLEGE,1.87686183,57
363 Walcott Street,Coolbinia,840000,3,1,2,683,108,1938,Glendalough Station,2800,6050,ARANMORE CATHOLIC COLLEGE,1.34767028,106
364 Jarrah Road,Hopeland,750000,4,2,2,91730,141,1985,Warnbro Station,11100,6125,BALDIVIS SECONDARY COLLEGE,6.210073093,134
364 Knutsford Avenue,Kewdale,390000,3,2,1,270,115,2006,Queens Park Station,3600,6105,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,0.944677344,102
364 Padbury Avenue,Herne Hill,1175000,3,2,1,62650,289,1991,Midland Station,9700,6056,SWAN CHRISTIAN COLLEGE,5.773987514,93
3645 Richardson Road,Parkerville,705000,3,1,2,20013,192,NULL,Midland Station,14400,6081,MUNDARING CHRISTIAN COLLEGE,3.738871589,
3645 Stoneville Road,Stoneville,485000,4,1,5,1800,150,NULL,Midland Station,16300,6081,MUNDARING CHRISTIAN COLLEGE,3.257412168,
364C Hardey Road,Cloverdale,430000,4,3,NULL,269,149,2007,Burswood Station,4500,6105,BELMONT CITY COLLEGE,1.265591254,57
365 Acton Avenue,Kewdale,920000,4,2,4,848,315,2013,Carlisle Station,2600,6105,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,0.786964968,102
365 Allman Road,Parkerville,445000,2,1,1,1497,120,1989,Midland Station,13100,6081,MUNDARING CHRISTIAN COLLEGE,4.223557027,
365 Margaret Road,Hovea,900000,3,2,3,8812,220,1940,Midland Station,10000,6071,HELENA COLLEGE,1.727764073,78
365 Pearce Street,Sawyers Valley,475000,4,2,2,1872,161,NULL,Midland Station,19500,6074,MUNDARING CHRISTIAN COLLEGE,2.584147532,
365 Traylen Road,Stoneville,410000,4,1,1,2148,141,1978,Midland Station,16600,6081,MUNDARING CHRISTIAN COLLEGE,2.695069284,
3651 West Swan Road,Caversham,1500000,5,3,14,46416,353,1975,East Guildford Station,3500,6055,LA SALLE COLLEGE,2.547910362,53
365A Sydenham Street,Belmont,480000,4,2,2,446,147,2010,Ashfield Station,4400,6104,BELMONT CITY COLLEGE,1.019781596,57
366 Carrington Street,Hamilton Hill,430000,3,1,2,442,96,1955,Fremantle Station,4400,6163,PORT SCHOOL,0.440573574,
366 Soldiers Road,Cardup,775000,4,2,2,20234,225,1998,Armadale Station,11200,6122,COURT GRAMMAR SCHOOL,1.856609234,
366 Walcott Street,Coolbinia,700000,3,1,2,768,144,1957,Glendalough Station,2700,6050,ARANMORE CATHOLIC COLLEGE,1.419358097,106
366C Hardey Road,Cloverdale,400000,3,2,2,1046,130,2006,Burswood Station,4500,6105,BELMONT CITY COLLEGE,1.28132769,57
367 Crawford Road,Inglewood,760000,3,1,NULL,651,129,1950,Mount Lawley Station,2700,6052,MOUNT LAWLEY SENIOR HIGH SCHOOL,1.484699749,20
367 Epsom Avenue,Redcliffe,452000,4,2,2,392,156,2003,Success Hill Station,6000,6104,BELMONT CITY COLLEGE,1.890931377,57
3675 Stoneville Road,Stoneville,465000,5,1,3,1803,102,NULL,Midland Station,16300,6081,MUNDARING CHRISTIAN COLLEGE,3.284626547,
368 Erindale Road,Warwick,525000,3,1,3,730,122,1970,Warwick Station,1900,6024,WARWICK SENIOR HIGH SCHOOL,0.366671636,
368 Spencer Road,Thornlie,305000,4,1,1,774,107,1970,Thornlie Station,1900,6108,THORNLIE SENIOR HIGH SCHOOL,0.920474472,125
368 Walcott Street,Coolbinia,785000,3,2,2,768,156,1935,Glendalough Station,2700,6050,ARANMORE CATHOLIC COLLEGE,1.421921316,106
3680 Phillips Road,Mahogany Creek,717500,4,2,2,14866,181,1995,Midland Station,13200,6072,MUNDARING CHRISTIAN COLLEGE,3.981251896,
3680 Richardson Road,Parkerville,1500000,5,3,4,44358,249,1990,Midland Station,14400,6081,MUNDARING CHRISTIAN COLLEGE,3.475564443,
369 Epsom Avenue,Redcliffe,477000,3,2,5,462,186,1999,Success Hill Station,6000,6104,BELMONT CITY COLLEGE,1.899452698,57
369 North Beach Road,Karrinyup,885000,3,2,2,512,261,1965,Warwick Station,2000,6018,CARINE SENIOR HIGH SCHOOL,0.977075977,47
369 Walcott Street,Coolbinia,665000,3,1,2,569,127,1948,Glendalough Station,2700,6050,ARANMORE CATHOLIC COLLEGE,1.35649722,106
36A Channon Street,Cannington,388000,3,1,1,490,120,1973,Queens Park Station,747,6107,ST NORBERT COLLEGE,0.907827344,42
36A Chester Street,South Fremantle,1110000,5,2,2,585,223,2000,Fremantle Station,2300,6162,FREMANTLE COLLEGE,1.14097057,128
36A Devon Road,Swanbourne,1650000,4,3,2,358,250,NULL,Swanbourne Station,692,6010,SCOTCH COLLEGE,0.573430137,24
36A Ewart Street,Midvale,350000,4,2,2,545,130,2001,Midland Station,2000,6056,YOUTH FUTURES COMMUNITY SCHOOL,1.518233204,
36A Ferguson Street,Maylands,370000,3,1,1,240,71,1988,Meltham Station,590,6051,CHISHOLM CATHOLIC COLLEGE,1.801286448,29
36A Hope Avenue,Manning,830000,4,2,2,397,160,1955,Canning Bridge Station,1600,6152,AQUINAS COLLEGE,0.955434202,23
36A Jecks Street,Rockingham,297000,3,1,1,501,116,NULL,Rockingham Station,2700,6168,ROCKINGHAM MONTESSORI SCHOOL,0.47885739,
36A Karrinyup Road,Trigg,905000,4,2,2,513,185,2001,Stirling Station,5000,6029,ST MARY'S ANGLICAN GIRLS' SCHOOL,0.901302245,7
36A Mayor Road,Coogee,652000,3,2,2,356,168,2015,Cockburn Central Station,8200,6166,DIVINE MERCY COLLEGE,4.791624298,
36A Norma Road,Alfred Cove,680000,3,2,2,304,158,2000,Bull Creek Station,3300,6154,APPLECROSS SENIOR HIGH SCHOOL,1.308065871,34
36A North Lake Road,Alfred Cove,653888,3,2,2,471,120,NULL,Bull Creek Station,3800,6154,MELVILLE SENIOR HIGH SCHOOL,1.559946768,61
36A Parry Avenue,Bateman,675000,4,2,2,534,139,2008,Murdoch Station,1100,6150,CORPUS CHRISTI COLLEGE,0.613309079,28
36A Peterborough Circle,North Lake,800000,4,3,2,338,332,NULL,Murdoch Station,2000,6163,LEEMING SENIOR HIGH SCHOOL,1.462400622,89
36A Stoneham Street,Joondanna,592500,3,1,2,293,110,1946,Glendalough Station,1200,6060,SERVITE COLLEGE,0.913783562,65
36A Temple Street,Victoria Park,865000,4,1,8,676,176,NULL,Vic,1100,6100,KENT STREET SENIOR HIGH SCHOOL,0.755996576,93
36A Turnbury Park Drive,Jandakot,400000,3,2,2,775,134,1999,Cockburn Central Station,2300,6164,LAKELAND SENIOR HIGH SCHOOL,0.672977468,
36B Dakota Avenue,Maylands,440000,3,2,1,214,122,1995,Belmont Park Station,1600,6051,BELMONT CITY COLLEGE,2.931547418,57
36B Harcourt Street,Bassendean,380000,3,1,1,380,91,1986,Success Hill Station,832,6054,CYRIL JACKSON SENIOR CAMPUS,1.389731907,
36B Longhurst Way,Queens Park,415000,4,2,2,625,119,NULL,Queens Park Station,913,6107,ST NORBERT COLLEGE,0.589493422,42
36B The Promenade,Mount Pleasant,1425000,5,2,2,486,280,NULL,Canning Bridge Station,1800,6153,APPLECROSS SENIOR HIGH SCHOOL,1.265771944,34
36B Widdicombe Street,Myaree,640000,4,2,2,414,165,2008,Bull Creek Station,3900,6154,MELVILLE SENIOR HIGH SCHOOL,0.809075795,61
36D Green Avenue,Balcatta,430000,3,2,2,245,130,2007,Stirling Station,2900,6021,SERVITE COLLEGE,2.141442794,65
36D Kidman Avenue,South Guildford,450000,3,2,2,480,156,2005,Guildford Station,1300,6055,GUILDFORD GRAMMAR SCHOOL,2.138317886,52
36F Arcadia Crescent,Bateman,615000,3,2,2,276,206,2008,Bull Creek Station,332,6150,CORPUS CHRISTI COLLEGE,1.206060696,28
37 Adenandra Way,Greenwood,650000,5,3,4,700,241,1980,Greenwood Station,2400,6024,THE MONTESSORI SCHOOL,1.073549072,
37 Alexander Drive,Menora,849000,3,1,2,874,210,1945,Mount Lawley Station,2300,6050,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.48729353,20
37 Allamanda Gate,Helena Valley,612000,4,3,3,505,198,2014,Midland Station,3300,6056,YOUTH FUTURES COMMUNITY SCHOOL,2.849198232,
37 Allpike Road,Darlington,675000,4,2,2,3257,196,1975,Midland Station,8700,6070,TREETOPS MONTESSORI SCHOOL,1.122121288,
37 Alumni Terrace,Churchlands,1620000,4,3,2,322,276,2013,Glendalough Station,3100,6018,NEWMAN COLLEGE,0.524421028,44
37 Amanda Drive,Camillo,355000,4,2,2,865,161,1970,Kelmscott Station,1300,6111,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,0.940718785,40
37 Andrews Way,Herne Hill,330000,3,1,5,748,160,1972,Midland Station,7600,6056,SWAN CHRISTIAN COLLEGE,3.726455104,93
37 Antalya Vista,Iluka,1250000,4,3,3,753,426,2008,Currambine Station,2600,6028,PRENDIVILLE CATHOLIC COLLEGE,2.268705906,60
37 Arabella Loop,North Coogee,2054000,5,4,3,741,556,2013,Fremantle Station,6200,6163,PORT SCHOOL,2.590933229,
37 Arrowwood Loop,Secret Harbour,430000,4,2,2,589,207,2011,Warnbro Station,8800,6173,COMET BAY COLLEGE,1.46189309,35
37 Asturian Drive,Henley Brook,862500,4,2,6,1650,281,2006,East Guildford Station,10400,6055,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.126513965,53
37 Atkinson Road,Medina,287000,3,1,2,728,89,1954,Kwinana Station,3900,6167,GILMORE COLLEGE,1.33676657,138
37 Aurora Entrance,High Wycombe,477500,4,2,2,581,143,2008,Woodbridge Station,5000,6057,DARLING RANGE SPORTS COLLEGE,4.675486481,137
37 Avocet Road,Stirling,905000,4,2,2,713,202,NULL,Stirling Station,2200,6021,BALCATTA SENIOR HIGH SCHOOL,0.639913914,135
37 Avon Crescent,Viveash,600000,4,2,2,712,253,1994,Midland Station,1500,6056,LA SALLE COLLEGE,0.484429032,53
37 Ayer Road,Queens Park,625000,5,1,NULL,471,233,NULL,Canning,1200,6107,ST NORBERT COLLEGE,1.117382691,42
37 Barbera Lane,The Vines,730000,4,2,3,4006,299,2002,Woodbridge Station,15300,6069,HOLY CROSS COLLEGE,2.895508424,98
37 Barrington Avenue,Champion Lakes,445000,3,2,2,285,129,2012,Kelmscott Station,2100,6111,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,2.055128176,40
37 Bartlett Crescent,Karrinyup,701000,3,1,NULL,729,142,1965,Stirling Station,2600,6018,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.79208066,7
37 Bathurst Gardens,Darch,567000,4,2,2,440,208,2014,Greenwood Station,6600,6065,ASHDALE SECONDARY COLLEGE,1.258663979,75
37 Beach Road,Marmion,680000,3,1,1,3035,265,NULL,Warwick Station,3900,6020,CARINE SENIOR HIGH SCHOOL,2.077353643,47
37 Bedelia Way,Hamersley,475000,4,2,3,728,175,1975,Warwick Station,458,6022,WARWICK SENIOR HIGH SCHOOL,1.945080387,
37 Benjafield Way,Hamersley,735000,4,2,1,692,160,1975,Warwick Station,1200,6022,WARWICK SENIOR HIGH SCHOOL,1.967529522,
37 BERNLEY DRIVE,Viveash,865000,3,2,1,1012,175,1988,Woodbridge Station,2100,6056,LA SALLE COLLEGE,0.977357859,53
37 Blackfriars Road,Joondalup,669000,4,2,3,482,210,1998,Joondalup Station,1300,6027,LAKE JOONDALUP BAPTIST COLLEGE,1.062344893,80
37 BLAXLAND AVENUE,Two Rocks,285000,4,1,1,919,90,1973,Butler Station,17500,6037,YANCHEP SECONDARY COLLEGE,6.858650255,
37 Blaxland Way,Padbury,395000,3,1,NULL,704,90,1978,Whitfords Station,1900,6025,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.990729007,58
37 Bopeechee Way,Port Kennedy,305000,4,2,2,448,131,2003,Warnbro Station,2900,6172,WARNBRO COMMUNITY HIGH SCHOOL,0.871319826,
37 Brian Avenue,Mount Pleasant,1820000,5,2,2,1065,230,1950,Bull Creek Station,924,6153,AQUINAS COLLEGE,1.742683644,23
37 Bronzewing Avenue,Ellenbrook,385000,4,2,2,719,202,1996,Guildford Station,11900,6069,ELLENBROOK SECONDARY COLLEGE,0.921653583,119
37 Brookman Avenue,Langford,360000,4,1,4,726,145,1970,Thornlie Station,1500,6147,LANGFORD ISLAMIC COLLEGE,0.786016503,85
37 Brumby Avenue,Henley Brook,505000,4,2,6,758,170,2003,East Guildford Station,11100,6055,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.76421358,53
37 Bunya Street,Dianella,660000,4,3,4,708,269,1973,Mount Lawley Station,6600,6059,MORLEY SENIOR HIGH SCHOOL,0.475605847,100
37 Busch Parkway,Pearsall,600000,4,2,2,803,245,NULL,Edgewater Station,4200,6065,ALTA-1,1.162142688,
37 Bushey Road,Wembley Downs,1250000,5,2,2,1128,280,1966,Stirling Station,3900,6019,HALE SCHOOL,1.3317537,6
37 Byers Road,Midland,475000,3,2,NULL,494,124,1915,Midland Station,418,6056,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.790036097,130
37 Campolino Gardens,Stratton,430000,5,2,2,757,168,NULL,Midland Station,5300,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.301493893,
37 Camsell Way,Ferndale,471000,5,2,1,687,164,1976,Queens Park Station,2100,6148,SEVENOAKS SENIOR COLLEGE,1.684615241,114
37 Cassino Drive,Stirling,1020000,5,2,2,489,273,2009,Glendalough Station,1900,6021,SERVITE COLLEGE,1.269471991,65
37 Chester Street,Belmont,400000,3,1,NULL,774,104,1956,Ashfield Station,4100,6104,BELMONT CITY COLLEGE,1.046598481,57
37 Cincotta Loop,Beeliar,550000,4,2,2,628,264,1998,Cockburn Central Station,6000,6164,DIVINE MERCY COLLEGE,2.991098369,
37 Citrus Loop,South Lake,375000,3,2,1,370,122,NULL,Cockburn Central Station,3400,6164,LAKELAND SENIOR HIGH SCHOOL,1.431577276,
37 Clipson Crescent,Mundaring,620000,4,2,2,2000,237,2001,Midland Station,16500,6073,MUNDARING CHRISTIAN COLLEGE,0.714887151,
37 Connelly Way,Booragoon,901000,4,3,2,700,218,1983,Bull Creek Station,2700,6154,APPLECROSS SENIOR HIGH SCHOOL,1.616741281,34
37 Constellation Drive,Ocean Reef,745000,4,2,2,756,230,1995,Joondalup Station,3100,6027,PRENDIVILLE CATHOLIC COLLEGE,0.345080255,60
37 Contour Drive,Mullaloo,655000,3,1,2,684,160,1979,Edgewater Station,2400,6027,BELRIDGE SECONDARY COLLEGE,0.99638285,102
37 Coolgardie Street,Subiaco,1295000,3,2,NULL,374,149,1925,Daglish Station,919,6008,PERTH MODERN SCHOOL,1.800546129,1
37 Corinda Way,Ridgewood,493000,4,2,2,706,205,2006,Clarkson Station,3200,6030,CLARKSON COMMUNITY HIGH SCHOOL,1.497104443,
37 Corte Close,Brigadoon,465000,4,3,2,4010,256,1992,Midland Station,11800,6069,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,4.141461409,53
37 Coyle Road,Beldon,530000,3,1,1,680,135,1986,Edgewater Station,485,6027,MATER DEI COLLEGE,1.233824717,104
37 Cunnold Street,Pickering Brook,575000,4,2,2,1952,210,NULL,Madding,13700,6076,CARMEL ADVENTIST COLLEGE,4.05259183,
37 Curedale Mews,Bull Creek,1235000,5,4,2,710,384,1998,Bull Creek Station,1500,6149,ROSSMOYNE SENIOR HIGH SCHOOL,0.253599673,16
37 Daleford Way,Southern River,475000,4,2,3,403,171,2009,Thornlie Station,6500,6110,PROVIDENCE CHRISTIAN COLLEGE,1.203133167,38
37 Dalvik Avenue,Merriwa,375000,4,2,1,533,138,2000,Butler Station,3100,6030,ALKIMOS BAPTIST COLLEGE,0.148666411,
37 Darile Street,Hillman,250000,3,1,2,701,92,1977,Rockingham Station,1100,6168,KOLBE CATHOLIC COLLEGE,1.479583093,97
37 Datchet Turn,Bertram,310000,3,2,2,252,99,2010,Kwinana Station,447,6167,THE KING'S COLLEGE,1.713141561,
37 David Street,Yokine,599000,3,2,2,810,201,2010,Stirling Station,3800,6060,DIANELLA SECONDARY COLLEGE,1.631106281,
37 Davy Street,Alfred Cove,900000,3,2,2,1012,301,NULL,Bull Creek Station,3500,6154,APPLECROSS SENIOR HIGH SCHOOL,1.37393254,34
37 Delton Way,Atwell,521000,4,2,NULL,578,174,1998,Cockburn Central Station,1200,6164,ATWELL COLLEGE,1.010063157,129
37 Dempster Road,Karrinyup,760000,4,2,2,756,147,1976,Warwick Station,2800,6018,CARINE SENIOR HIGH SCHOOL,1.059228385,47
37 Denston Way,Girrawheen,265000,2,1,3,820,97,1970,Warwick Station,3900,6064,GIRRAWHEEN SENIOR HIGH SCHOOL,0.678775545,
37 Derry Avenue,Mount Nasura,536000,4,2,2,1012,246,1951,Armadale Station,1200,6112,JOHN CALVIN CHRISTIAN COLLEGE,1.356780799,56
37 Dirleton Loop,Butler,449000,4,2,2,600,167,2009,Butler Station,763,6036,BUTLER COLLEGE,1.307470772,39
37 Dolomite Court,Churchlands,1540000,4,2,2,510,280,2002,Glendalough Station,3100,6018,NEWMAN COLLEGE,0.393489822,44
37 Drummond Gardens,Helena Valley,650000,5,3,3,660,279,NULL,Midland Station,3800,6056,YOUTH FUTURES COMMUNITY SCHOOL,3.426462787,
37 Dumaresq Loop,Quinns Rocks,540000,4,2,2,613,194,2003,Butler Station,3000,6030,ALKIMOS BAPTIST COLLEGE,1.390813056,
37 Dumbarton Crescent,Menora,1259000,4,2,2,769,187,1960,Perth Station,3400,6050,MOUNT LAWLEY SENIOR HIGH SCHOOL,1.204551112,20
37 East Street,Guildford,405000,1,1,1,473,72,1930,East Guildford Station,250,6055,GUILDFORD GRAMMAR SCHOOL,0.462066524,52
37 Eden Drive,Bullsbrook,305000,4,1,1,692,122,1993,Midland Station,26000,6084,HOLY CROSS COLLEGE,13.99020586,98
37 Edgewater Road,Salter Point,1545000,4,2,2,748,311,1972,Canning Bridge Station,1700,6152,AQUINAS COLLEGE,0.25714865,23
37 Elmore Way,High Wycombe,545000,4,2,2,639,228,2004,Midland Station,4700,6057,YOUTH FUTURES COMMUNITY SCHOOL,4.570361539,
37 Elsie Street,Watermans Bay,1570000,4,2,2,1070,218,1957,Warwick Station,3800,6020,CARINE SENIOR HIGH SCHOOL,2.011700694,47
37 Empire Avenue,City Beach,2150000,5,4,2,885,303,1976,Glendalough Station,6000,6015,HALE SCHOOL,2.491644283,6
37 Excalibur Chase,Wattle Grove,555000,4,2,2,601,176,NULL,Madding,5300,6107,HERITAGE COLLEGE PERTH,3.350788561,
37 Fantail Crescent,Ellenbrook,505000,4,2,2,1002,192,1997,East Guildford Station,12300,6069,ELLENBROOK SECONDARY COLLEGE,0.937428528,119
37 Fawkner Road,Two Rocks,370000,4,1,NULL,810,117,1994,Butler Station,17300,6037,YANCHEP SECONDARY COLLEGE,6.602307234,
37 Feakle Bend,Ridgewood,422500,3,2,2,351,156,NULL,Butler Station,3400,6030,ALKIMOS BAPTIST COLLEGE,0.815414824,
37 Felstead Crescent,Hamersley,660000,4,2,1,759,210,1991,Warwick Station,892,6022,WARWICK SENIOR HIGH SCHOOL,1.870049941,
